日本信達株式会社　第10期定時株主総会　WBS,,,,,,,,,,,,,,
開催日（D）,2026-10-20,← この日付を書き換えると、全ての予定日が自動で動きます,,総タスク数,=COUNTA($A$7:$A$1000),,主担当 増田,"=COUNTIF($J$7:$J$1000,""増田"")",,,,,,
A-07,前提整理・体制,開催日の逆算と決定,本WBSの所要日数から最短開催日を算出し、役員の日程・会場と突き合わせて開催日を確定する,=$B$2-45,=$B$2-42,,,"=IF($H13<>"""",NETWORKDAYS($G13,$H13),NETWORKDAYS($E13,$F13))",増田,境,A-04,社内,未着手,確定したらスプレッドシートのB2セルを書き換える。以降の予定日は自動で動く
A-08,前提整理・体制,週次進捗会議の設定とWBS運用の開始,毎週の進捗確認の場を設定し、本WBSの実績欄への記入ルールを決めて運用を始める,=$B$2-45,=$B$2-44,,,"=IF($H14<>"""",NETWORKDAYS($G14,$H14),NETWORKDAYS($E14,$F14))",境,増田,A-05,社内,未着手,実績日の記入が次回の標準形の精度を決める。ここを手抜きしない
B-01,株主の確定,株主名簿の最新化,株主33名の氏名・住所・保有株式数を最新の状態に整え、招集通知の宛先として使える状態にする,=$B$2-45,=$B$2-40,,,"=IF($H15<>"""",NETWORKDAYS($G15,$H15),NETWORKDAYS($E15,$F15))",境,増田,A-02,法定：会社法121条,未着手,住所不明・宛先不達の株主がいないかをこの段階で潰す
B-02,株主の確定,4月30日以降の株式異動の有無の確認,4月30日から現在までに株式の譲渡・相続等の異動がなかったかを確認し、あれば名義書換の状況を整理する,=$B$2-44,=$B$2-41,,,"=IF($H16<>"""",NETWORKDAYS($G16,$H16),NETWORKDAYS($E16,$F16))",境,増田,B-01,社内,未着手,基準日を定めない方式を採ったため、異動の有無が議決権者の確定に直結する
B-03,株主の確定,議決権個数の集計,自己株式の有無・単元株の定めを確認したうえで、株主ごとの議決権個数と総議決権数を確定する,=$B$2-40,=$B$2-37,,,"=IF($H17<>"""",NETWORKDAYS($G17,$H17),NETWORKDAYS($E17,$F17))",増田,境,B-02,法定：会社法308条,未着手,定足数と特別決議の可決ラインをここで数字で押さえる
B-04,株主の確定,基準日を定めない方針の取締役会での確認,総会時点の株主名簿上の株主に招集する方針を取締役会で確認し、議事録に記録する,=$B$2-38,=$B$2-35,,,"=IF($H18<>"""",NETWORKDAYS($G18,$H18),NETWORKDAYS($E18,$F18))",増田,境,B-03,法定：会社法124条1項,未着手,基準日は任意制度。定めない選択をした事実を残しておく
B-05,株主の確定,招集通知発送後の名義書換の取扱いルールの決定,発送後から総会当日までに名義書換の請求があった場合の取扱いを事前に決めておく,=$B$2-35,=$B$2-32,,,"=IF($H19<>"""",NETWORKDAYS($G19,$H19),NETWORKDAYS($E19,$F19))",増田,境,B-04,社内,未着手,基準日を置かない方式の唯一の弱点。当日の受付で迷わないよう先に決める
B-06,株主の確定,株主への事前連絡,開催予定の案内を出し、あわせて送付先住所に誤りがないかを確認する,=$B$2-30,=$B$2-20,,,"=IF($H20<>"""",NETWORKDAYS($G20,$H20),NETWORKDAYS($E20,$F20))",境,増田,B-01,社内,未着手,33名なので個別連絡が可能。返戻リスクを事前に潰しておく
C-01,計算書類・事業報告・監査,第10期計算書類の確定,貸借対照表・損益計算書・株主資本等変動計算書・個別注記表を確定させる,=$B$2-45,=$B$2-35,,,"=IF($H21<>"""",NETWORKDAYS($G21,$H21),NETWORKDAYS($E21,$F21))",境,増田,,法定：会社法435条2項,未着手,取締役会で決議中の素案を最終版に固める
C-02,計算書類・事業報告・監査,第10期事業報告および附属明細書の確定,事業報告と、計算書類・事業報告それぞれの附属明細書を確定させる,=$B$2-45,=$B$2-35,,,"=IF($H22<>"""",NETWORKDAYS($G22,$H22),NETWORKDAYS($E22,$F22))",境,増田,,法定：会社法435条2項,未着手,附属明細書の作成漏れが起きやすい。監査の対象になる点に注意
C-03,計算書類・事業報告・監査,事業報告の記載事項チェック,会社法施行規則118条から128条の記載事項に漏れがないかを条文と突き合わせて確認する,=$B$2-36,=$B$2-33,,,"=IF($H23<>"""",NETWORKDAYS($G23,$H23),NETWORKDAYS($E23,$F23))",増田,境,C-02,法定：会社法施行規則118条〜128条,未着手,第10期は非公開会社としての記載でよい。第11期からは公開会社の追加記載が必要になる
C-04,計算書類・事業報告・監査,監査役会との監査報告通知期限の合意,監査報告の通知期限について監査役会と協議し、法定の4週間より短い期日を合意する,=$B$2-40,=$B$2-37,,,"=IF($H24<>"""",NETWORKDAYS($G24,$H24),NETWORKDAYS($E24,$F24))",増田,境,,法定：会社計算規則124条1項・会社法施行規則132条1項,未着手,ここを合意できるかで開催日が2〜3週間変わる。日程短縮の最大のポイント
C-05,計算書類・事業報告・監査,計算書類等の監査役会への提供,計算書類・事業報告・各附属明細書を監査役会へ提供し、受領日を記録する,=$B$2-34,=$B$2-33,,,"=IF($H25<>"""",NETWORKDAYS($G25,$H25),NETWORKDAYS($E25,$F25))",境,増田,C-01,法定：会社法436条2項,未着手,受領日が監査報告の通知期限の起算日になるため、日付を必ず記録する
C-06,計算書類・事業報告・監査,監査役会による監査の実施,監査役会での監査の進行を社内側で支援し、資料請求・質問への対応を行う,=$B$2-33,=$B$2-26,,,"=IF($H26<>"""",NETWORKDAYS($G26,$H26),NETWORKDAYS($E26,$F26))",境,増田,C-05,法定：会社法436条2項,未着手,実施主体は監査役会。社内は資料対応に徹する
C-07,計算書類・事業報告・監査,監査報告の受領,監査役会の監査報告を受領し、内容と日付を確認する,=$B$2-26,=$B$2-25,,,"=IF($H27<>"""",NETWORKDAYS($G27,$H27),NETWORKDAYS($E27,$F27))",増田,境,C-06,法定：会社計算規則124条1項,未着手,招集通知の添付書類になるため、受領しないと発送できない
C-08,計算書類・事業報告・監査,取締役会による計算書類・事業報告の承認,取締役会で計算書類・事業報告・附属明細書を承認する,=$B$2-24,=$B$2-24,,,"=IF($H28<>"""",NETWORKDAYS($G28,$H28),NETWORKDAYS($E28,$F28))",増田,境,C-07,法定：会社法436条3項,未着手,招集通知の発送前に承認を終えている必要がある
C-09,計算書類・事業報告・監査,剰余金配当の要否確認と分配可能額の算定,配当を行うかを判断し、行う場合は分配可能額を算定して議案化の要否を決める,=$B$2-40,=$B$2-35,,,"=IF($H29<>"""",NETWORKDAYS($G29,$H29),NETWORKDAYS($E29,$F29))",境,増田,C-01,法定：会社法461条,未着手,現時点では配当議案の予定なし。不要と確定したらその判断を記録して閉じる
D-01,議案設計,第1号議案「定款一部変更」の内容確定,株式の譲渡制限に関する規定の撤廃と、公告方法の電子公告への変更の2点について変更後の条文を確定する,=$B$2-45,=$B$2-38,,,"=IF($H30<>"""",NETWORKDAYS($G30,$H30),NETWORKDAYS($E30,$F30))",増田,境,A-01,法定：会社法466条・309条2項11号,未着手,特別決議事項。譲渡制限の設定は特殊決議だが、撤廃は特別決議で足りる
D-02,議案設計,定款変更の効力発生日の設計,定款変更の効力を総会終結時とするか、附則で別の日を定めるかを決める,=$B$2-40,=$B$2-37,,,"=IF($H31<>"""",NETWORKDAYS($G31,$H31),NETWORKDAYS($E31,$F31))",増田,境,D-01,社内,未着手,役員の任期満了時期と連動する。原則どおり総会決議時とするのが素直
D-03,議案設計,定款新旧対照表の作成,変更前後の条文を対照表にまとめ、参考書類および取締役会資料に添付する,=$B$2-38,=$B$2-34,,,"=IF($H32<>"""",NETWORKDAYS($G32,$H32),NETWORKDAYS($E32,$F32))",増田,境,D-01,社内,未着手,登記申請時にも使う。前田先生と様式をすり合わせておく
D-04,議案設計,電子公告のURL・掲載体制・予備的公告方法の決定,自社サイト上の公告ページのURLを決め、掲載・保守の担当と、事故時の予備的公告方法を定款に定めるかを決める,=$B$2-38,=$B$2-33,,,"=IF($H33<>"""",NETWORKDAYS($G33,$H33),NETWORKDAYS($E33,$F33))",境,増田,D-01,法定：会社法939条3項・940条,未着手,URLは登記事項。決算公告は5年間の継続掲載が必要で、調査機関の調査は不要
D-05,議案設計,取締役選任議案の候補者確定と就任承諾書の取得,取締役候補者を確定し、就任承諾書・本人確認証明書等の登記添付書類を事前に集める,=$B$2-40,=$B$2-30,,,"=IF($H34<>"""",NETWORKDAYS($G34,$H34),NETWORKDAYS($E34,$F34))",境,増田,D-02,法定：会社法329条・341条,未着手,定款変更の効力発生で全取締役の任期が満了するため、再任も含めて全員分が必要
D-06,議案設計,監査役選任議案の候補者確定と監査役会の同意取得,監査役候補者を確定し、選任議案の提出について監査役会の同意を得る,=$B$2-40,=$B$2-30,,,"=IF($H35<>"""",NETWORKDAYS($G35,$H35),NETWORKDAYS($E35,$F35))",境,増田,D-02,法定：会社法343条1項・3項,未着手,監査役会の同意を欠くと議案の提出自体が瑕疵になる。監査役会は3名以上・半数以上が社外である必要がある
D-07,議案設計,議案の上程順序と条件付選任の整理,定款変更を先に、役員選任を後に上程し、役員選任は定款変更の効力発生を条件とする形で整理する,=$B$2-34,=$B$2-31,,,"=IF($H36<>"""",NETWORKDAYS($G36,$H36),NETWORKDAYS($E36,$F36))",増田,境,D-05,社内,未着手,順序を誤ると任期満了前の選任になってしまう。台本にも反映させる
D-08,議案設計,決議要件の確認,各議案の定足数と必要賛成数を、定款の定めを踏まえて数字で確認する,=$B$2-33,=$B$2-30,,,"=IF($H37<>"""",NETWORKDAYS($G37,$H37),NETWORKDAYS($E37,$F37))",増田,境,B-03,法定：会社法309条2項・341条,未着手,定款変更は特別決議、役員選任は普通決議。70％株主の出席で定足数は満たせる見込み
D-09,議案設計,議案全体のリーガルチェック,議案・参考書類・上程順序について外部の専門家の確認を受ける,=$B$2-30,=$B$2-26,,,"=IF($H38<>"""",NETWORKDAYS($G38,$H38),NETWORKDAYS($E38,$F38))",増田,境,D-07,社内,未着手,譲渡制限撤廃に伴う任期満了の論点は見落とされやすい。必ず明示して確認を取る
E-01,招集の決定,招集事項決定の取締役会の招集通知,招集事項を決議する取締役会を、開催日の1週間前までに各取締役・監査役へ通知する,=$B$2-24,=$B$2-23,,,"=IF($H39<>"""",NETWORKDAYS($G39,$H39),NETWORKDAYS($E39,$F39))",境,増田,,法定：会社法368条1項,未着手,定款で短縮している場合はその期間による
E-02,招集の決定,取締役会付議資料の作成,招集事項・各議案・招集通知案・参考書類案を付議資料としてまとめる,=$B$2-24,=$B$2-20,,,"=IF($H40<>"""",NETWORKDAYS($G40,$H40),NETWORKDAYS($E40,$F40))",増田,境,D-09,社内,未着手,
E-03,招集の決定,取締役会決議（招集事項の決定）,総会の日時・場所・目的事項を決議し、書面投票を採用するかを決める,=$B$2-18,=$B$2-18,,,"=IF($H41<>"""",NETWORKDAYS($G41,$H41),NETWORKDAYS($E41,$F41))",増田,境,E-02,法定：会社法298条1項・4項,未着手,書面投票を採用すると招集通知が2週間前になり日程が延びる。委任状方式で足りるため不採用を推奨
E-04,招集の決定,取締役会議事録の作成と押印,招集事項を決議した取締役会の議事録を作成し、出席役員の署名または記名押印を得る,=$B$2-17,=$B$2-14,,,"=IF($H42<>"""",NETWORKDAYS($G42,$H42),NETWORKDAYS($E42,$F42))",境,増田,E-03,法定：会社法369条3項・371条,未着手,10年間の本店備置が必要
F-01,招集通知・添付書類,招集通知本文の作成,日時・場所・目的事項・議決権行使の方法を記載した招集通知の本文を作成する,=$B$2-24,=$B$2-18,,,"=IF($H43<>"""",NETWORKDAYS($G43,$H43),NETWORKDAYS($E43,$F43))",増田,境,E-02,法定：会社法299条・会社法施行規則63条,未着手,取締役会設置会社のため書面での通知が必須
F-02,招集通知・添付書類,株主総会参考書類・議案説明資料の作成,各議案の内容と提案理由を記載した参考書類を作成する。特に譲渡制限撤廃の理由を丁寧に書く,=$B$2-24,=$B$2-18,,,"=IF($H44<>"""",NETWORKDAYS($G44,$H44),NETWORKDAYS($E44,$F44))",増田,境,D-09,法定：会社法301条・302条,未着手,33名の株主に対する説明が今回の実質的な山場。分かりやすさを優先する
F-03,招集通知・添付書類,委任状用紙と議決権行使の案内の作成,委任状の様式と、行使方法・返送期限を記載した案内文を作成する,=$B$2-22,=$B$2-17,,,"=IF($H45<>"""",NETWORKDAYS($G45,$H45),NETWORKDAYS($E45,$F45))",境,増田,E-03,社内,未着手,定足数の確保はこの委任状の回収にかかっている
F-04,招集通知・添付書類,添付書類の最終版差し替え,計算書類・事業報告・監査報告の確定版を招集通知の添付書類として組み込む,=$B$2-16,=$B$2-14,,,"=IF($H46<>"""",NETWORKDAYS($G46,$H46),NETWORKDAYS($E46,$F46))",境,増田,C-08,法定：会社法437条,未着手,監査報告の添付漏れは決議取消事由になり得る
F-05,招集通知・添付書類,招集通知一式の最終リーガルチェック,招集通知・参考書類・添付書類・委任状を通しで確認し、記載漏れと日付の齟齬を潰す,=$B$2-14,=$B$2-12,,,"=IF($H47<>"""",NETWORKDAYS($G47,$H47),NETWORKDAYS($E47,$F47))",増田,境,F-04,社内,未着手,発送してしまうと取り返しがつかない。ここが最後の関門
F-06,招集通知・添付書類,印刷・封入資材の準備,33通分の印刷・封入・宛名書きを行い、発送できる状態にする,=$B$2-13,=$B$2-11,,,"=IF($H48<>"""",NETWORKDAYS($G48,$H48),NETWORKDAYS($E48,$F48))",境,増田,F-05,社内,未着手,
F-07,招集通知・添付書類,招集通知の発送,全株主へ招集通知一式を発送する,=$B$2-10,=$B$2-10,,,"=IF($H49<>"""",NETWORKDAYS($G49,$H49),NETWORKDAYS($E49,$F49))",境,増田,F-06,法定：会社法299条1項（総会の日の1週間前まで）,未着手,法定期限は開催日の8日前。2日の余裕を見て10日前に発送する計画としている
F-08,招集通知・添付書類,発送記録の作成と返戻対応,発送日・発送方法・宛先を記録し、返戻があれば所在を調査して再送する,=$B$2-9,=$B$2-3,,,"=IF($H50<>"""",NETWORKDAYS($G50,$H50),NETWORKDAYS($E50,$F50))",境,増田,F-07,法定：会社法299条1項,未着手,発送の事実を証明できる形で残す
G-01,総会前の株主対応,進行シナリオ（議長台本）の作成,開会から閉会までの進行を、決議要件の読み上げと採決方法を含めて台本化する,=$B$2-14,=$B$2-7,,,"=IF($H51<>"""",NETWORKDAYS($G51,$H51),NETWORKDAYS($E51,$F51))",増田,境,D-07,社内,未着手,定款変更の可決を確認してから役員選任に移る流れを明記する
G-02,総会前の株主対応,想定問答集の作成,譲渡制限撤廃の理由・今後の資本政策・開催が遅れた経緯・役員体制について、想定される質問と回答を整理する,=$B$2-14,=$B$2-6,,,"=IF($H52<>"""",NETWORKDAYS($G52,$H52),NETWORKDAYS($E52,$F52))",増田,境,F-02,法定：会社法314条（説明義務）,未着手,遅延の経緯は必ず聞かれる前提で準備する
G-03,総会前の株主対応,委任状の回収と管理,返送された委任状を受け付け、記載の不備を確認しながら議決権数を集計する,=$B$2-9,=$B$2-1,,,"=IF($H53<>"""",NETWORKDAYS($G53,$H53),NETWORKDAYS($E53,$F53))",境,増田,F-07,社内,未着手,不備のある委任状の取扱い方針を先に決めておく
G-04,総会前の株主対応,出席予定と定足数見込みの確認,出席予定と委任状を合算し、特別決議の可決に必要な議決権数を満たせるかを確認する,=$B$2-5,=$B$2-1,,,"=IF($H54<>"""",NETWORKDAYS($G54,$H54),NETWORKDAYS($E54,$F54))",境,増田,G-03,社内,未着手,満たさない見込みなら、この時点で大株主へ再度働きかける
G-05,総会前の株主対応,大株主への事前説明,70％株主および10％株主へ議案の内容を事前に説明し、出席または委任状の提出を依頼する,=$B$2-9,=$B$2-4,,,"=IF($H55<>"""",NETWORKDAYS($G55,$H55),NETWORKDAYS($E55,$F55))",増田,境,F-07,社内,未着手,特別決議の成否がここで実質的に決まる
G-06,総会前の株主対応,会場・受付・資料の準備,会場の設営計画、受付名簿、当日配布資料、議決権行使書の集計様式を準備する,=$B$2-5,=$B$2-1,,,"=IF($H56<>"""",NETWORKDAYS($G56,$H56),NETWORKDAYS($E56,$F56))",境,増田,G-01,社内,未着手,
G-07,総会前の株主対応,リハーサルの実施,議長・役員が参加し、本番想定で進行と質疑応答を通す,=$B$2-3,=$B$2-3,,,"=IF($H57<>"""",NETWORKDAYS($G57,$H57),NETWORKDAYS($E57,$F57))",増田,境,G-02,社内,未着手,議長が決議要件を正しく読み上げられるかを重点的に確認する
H-01,当日運営,会場設営と受付準備,会場を設営し、受付・資料・記録機材を配置する,=$B$2,=$B$2,,,"=IF($H58<>"""",NETWORKDAYS($G58,$H58),NETWORKDAYS($E58,$F58))",境,増田,G-06,社内,未着手,
H-02,当日運営,受付・本人確認・議決権個数の確認,出席株主と代理人の本人確認を行い、委任状を確認して議決権個数を確定する,=$B$2,=$B$2,,,"=IF($H59<>"""",NETWORKDAYS($G59,$H59),NETWORKDAYS($E59,$F59))",境,増田,H-01,社内,未着手,代理人の資格を定款で制限している場合はその確認も行う
H-03,当日運営,定足数の確認と開会,出席議決権数を集計して定足数の充足を確認し、議長が開会を宣言する,=$B$2,=$B$2,,,"=IF($H60<>"""",NETWORKDAYS($G60,$H60),NETWORKDAYS($E60,$F60))",増田,境,H-02,法定：会社法309条,未着手,定足数の充足を議事録に記載できる形で確認する
H-04,当日運営,事業報告・計算書類の報告および監査報告,第10期の事業報告と計算書類の内容を報告し、監査役会の監査結果を報告する,=$B$2,=$B$2,,,"=IF($H61<>"""",NETWORKDAYS($G61,$H61),NETWORKDAYS($E61,$F61))",増田,境,H-03,法定：会社法438条,未着手,会計監査人非設置のため、計算書類は総会の承認が必要
H-05,当日運営,議案の上程・質疑応答・採決,第1号議案から順に上程し、質疑に応答したうえで採決し、賛否の議決権数を確定する,=$B$2,=$B$2,,,"=IF($H62<>"""",NETWORKDAYS($G62,$H62),NETWORKDAYS($E62,$F62))",増田,境,H-04,法定：会社法309条・314条,未着手,定款変更の可決を確認してから役員選任に進む
H-06,当日運営,議事の記録,議事の経過と結果、質疑の内容を書記が記録し、あわせて録音する,=$B$2,=$B$2,,,"=IF($H63<>"""",NETWORKDAYS($G63,$H63),NETWORKDAYS($E63,$F63))",境,増田,H-03,法定：会社法318条1項,未着手,議事録作成の材料になる。発言の要旨まで押さえる
H-07,当日運営,総会終結後の取締役会・監査役会,取締役会で代表取締役を選定し、監査役会で常勤監査役および議長を選定する,=$B$2,=$B$2,,,"=IF($H64<>"""",NETWORKDAYS($G64,$H64),NETWORKDAYS($E64,$F64))",増田,境,H-05,法定：会社法362条3項・390条3項,未着手,役員が全員改選になるため、当日中の開催が必須
H-08,当日運営,決議結果の周知方針の確認,欠席株主への決議通知の要否と方法を確認する,=$B$2,=$B$2,,,"=IF($H65<>"""",NETWORKDAYS($G65,$H65),NETWORKDAYS($E65,$F65))",境,増田,H-05,社内,未着手,
I-01,総会後の手続,株主総会議事録の作成,開催日時・場所・議事の経過の要領・結果・出席役員等を記載した議事録を作成する,=$B$2+1,=$B$2+5,,,"=IF($H66<>"""",NETWORKDAYS($G66,$H66),NETWORKDAYS($E66,$F66))",増田,境,H-06,法定：会社法318条・会社法施行規則72条3項,未着手,登記の添付書類になるため、登記申請から逆算して早期に確定させる
I-02,総会後の手続,取締役会議事録・監査役会議事録の作成,総会後に開催した取締役会および監査役会の議事録を作成し、押印を得る,=$B$2+1,=$B$2+5,,,"=IF($H67<>"""",NETWORKDAYS($G67,$H67),NETWORKDAYS($E67,$F67))",境,増田,H-07,法定：会社法369条3項・393条2項,未着手,代表取締役の選定を証する書面として登記に使う
I-03,総会後の手続,登記添付書類の取りまとめ,就任承諾書・印鑑証明書・本人確認証明書などを揃え、不足を補う,=$B$2+1,=$B$2+5,,,"=IF($H68<>"""",NETWORKDAYS($G68,$H68),NETWORKDAYS($E68,$F68))",境,増田,I-01,法定：商業登記法54条,未着手,印鑑証明書の有効期限に注意する
I-04,総会後の手続,登記申請書類の司法書士への提供,議事録および添付書類一式を前田先生へ引き渡し、申請内容を最終確認する,=$B$2+5,=$B$2+7,,,"=IF($H69<>"""",NETWORKDAYS($G69,$H69),NETWORKDAYS($E69,$F69))",境,増田,I-03,社内,未着手,
I-05,総会後の手続,登記申請,株式の譲渡制限に関する規定の廃止、公告方法の変更、役員変更の登記を申請する,=$B$2+7,=$B$2+13,,,"=IF($H70<>"""",NETWORKDAYS($G70,$H70),NETWORKDAYS($E70,$F70))",増田,境,I-04,法定：会社法915条1項（効力発生から2週間以内）,未着手,期限は総会日から2週間。3件を一括申請できるか前田先生に確認済みの前提
I-06,総会後の手続,登記完了の確認と証明書の取得,登記完了後に履歴事項全部証明書を取得し、申請内容どおり反映されているかを確認する,=$B$2+14,=$B$2+21,,,"=IF($H71<>"""",NETWORKDAYS($G71,$H71),NETWORKDAYS($E71,$F71))",境,増田,I-05,社内,未着手,
I-07,総会後の手続,電子公告ページの開設とURLの公示,自社サイトに公告専用ページを開設し、登記されたURLで閲覧できる状態にする,=$B$2+7,=$B$2+20,,,"=IF($H72<>"""",NETWORKDAYS($G72,$H72),NETWORKDAYS($E72,$F72))",境,増田,D-04,法定：会社法911条3項28号・29号,未着手,登記されたURLと実際のURLが一致していないと公告として認められない
I-08,総会後の手続,第10期の決算公告の実施,定時株主総会の終結後遅滞なく、貸借対照表を公告する,=$B$2+14,=$B$2+25,,,"=IF($H73<>"""",NETWORKDAYS($G73,$H73),NETWORKDAYS($E73,$F73))",増田,境,I-07,法定：会社法440条1項,未着手,電子公告の場合は5年間の継続掲載が必要。決算公告は調査機関の調査が不要
I-09,総会後の手続,第9期以前の決算公告の実施状況の確認,過去の事業年度の決算公告が実施されているかを確認し、未了があれば対応方針を決める,=$B$2+1,=$B$2+20,,,"=IF($H74<>"""",NETWORKDAYS($G74,$H74),NETWORKDAYS($E74,$F74))",増田,境,,法定：会社法440条1項・976条2号,未着手,未了は過料の対象になり得る。早めに実態を把握しておく
I-10,総会後の手続,議事録の本店備置と保存台帳の整備,株主総会議事録を本店に備え置き、法定備置書類の保存台帳を整備する,=$B$2+7,=$B$2+14,,,"=IF($H75<>"""",NETWORKDAYS($G75,$H75),NETWORKDAYS($E75,$F75))",境,増田,I-01,法定：会社法318条2項（10年間）,未着手,支店がある場合は写しを5年間備え置く
I-11,総会後の手続,株主名簿の更新と決議通知,役員変更等を反映して株主名簿・会社関係書類を更新し、必要に応じて株主へ決議結果を通知する,=$B$2+3,=$B$2+10,,,"=IF($H76<>"""",NETWORKDAYS($G76,$H76),NETWORKDAYS($E76,$F76))",境,増田,H-08,社内,未着手,
I-12,総会後の手続,役員就任に伴う社内手続,委嘱状の交付、報酬の設定、銀行や取引先への届出、役員賠償責任保険の見直しを行う,=$B$2+7,=$B$2+30,,,"=IF($H77<>"""",NETWORKDAYS($G77,$H77),NETWORKDAYS($E77,$F77))",増田,境,I-06,社内,未着手,
I-13,総会後の手続,税務申告の期限確認と対応,法人税・地方税の申告期限と、総会の遅延による影響を確認して対応する,=$B$2+1,=$B$2+10,,,"=IF($H78<>"""",NETWORKDAYS($G78,$H78),NETWORKDAYS($E78,$F78))",境,増田,H-05,法定：法人税法74条,未着手,申告期限の延長特例の適用状況を顧問税理士に確認する
J-01,振り返り,実績日と所要工数の記録,本WBSの実績欄を全件埋め、予定と実績の差分を明らかにする,=$B$2+7,=$B$2+14,,,"=IF($H79<>"""",NETWORKDAYS($G79,$H79),NETWORKDAYS($E79,$F79))",境,増田,H-05,社内,未着手,ここが次回の標準形の精度をつくる。差分の大きい作業に印をつける
J-02,振り返り,振り返り会の実施,うまく進んだ点と詰まった点を洗い出し、原因まで掘り下げて記録する,=$B$2+14,=$B$2+14,,,"=IF($H80<>"""",NETWORKDAYS($G80,$H80),NETWORKDAYS($E80,$F80))",増田,境,J-01,社内,未着手,
J-03,振り返り,想定外の事項と株主質問の記録,当日の質問と想定外だった出来事を記録し、次回の想定問答に反映できる形で残す,=$B$2+10,=$B$2+17,,,"=IF($H81<>"""",NETWORKDAYS($G81,$H81),NETWORKDAYS($E81,$F81))",増田,境,H-05,社内,未着手,
J-04,振り返り,外部関係者からのフィードバック聴取,前田先生をはじめ外部関係者から、今回の進め方への意見を聞き取る,=$B$2+14,=$B$2+21,,,"=IF($H82<>"""",NETWORKDAYS($G82,$H82),NETWORKDAYS($E82,$F82))",境,増田,I-06,社内,未着手,
J-05,振り返り,遅延の原因分析と再発防止策の整理,今回、開催が事業年度末から5か月以上遅れた原因を分析し、再発防止策をまとめる,=$B$2+14,=$B$2+21,,,"=IF($H83<>"""",NETWORKDAYS($G83,$H83),NETWORKDAYS($E83,$F83))",増田,境,J-02,社内,未着手,次回の指示書の中核になる部分
K-01,標準形化,次回への指示書の更新,公開会社となったことによる変更点を反映し、第11期に向けた指示書を確定させる,=$B$2+21,=$B$2+30,,,"=IF($H84<>"""",NETWORKDAYS($G84,$H84),NETWORKDAYS($E84,$F84))",増田,境,J-05,社内,未着手,招集通知2週間前・任期短縮・事業報告の追加記載が最重要の変更点
